p_gear,n,pfshy_gear,gear_group
3,6187452,drift gillnet,drift gillnet
4,4497710,set gillnet-gillnet,set gillnet
1,2321696,purse seine,purse seine
6,1026553,longline vessel under 60',longline
15,887656,power troll,power troll
7,734138,otter trawl,otter trawl
7I,645917,otter trawl vessel over 125',otter trawl
5,346370,hand troll,hand troll
9,340022,pot gear vessel under 60'-pot gear vessel onder 60'-pot vessel under 60',pot gear
34,89284,gillnet,gillnet
61,67261,longline vessel 60' or over-longline,longline
11,54679,diving gear,diving gear
18,51159,shovel,shovel
6A,50208,longline vessel 90' or over,longline
26,49273,mechanical jig,mechanical jig
91,44012,pot gear-pot gear vessel 60' or over,pot gear
9A,25791,300 pots/or 100% of max,pot gear
9C,24700,pot gear maximum vessel length 50'-150 pots/or 50% of max,pot gear
17,20169,beam trawl,beam trawl
9B,19122,225 pots/or 75% of max,pot gear
9D,14296,75 pots/or 25% of max,pot gear
12,13628,dive/hand pick-hand pick,diving gear
69,12261,pot gear,diving gear
2,6841,beach seine,beach seine
21,6221,pound,pound
49,4283,pot gear,pot gear
5C,3441,fixed gear maximum vessel length 50',fixed gear 
22,3434,NA,NA
25,2834,dinglebar troll,dinglebar troll
10,2168,ring net,ring net
6B,2153,longline vessel 60' to under 90',longline
19,2088,pot gear,pot gear
29,1530,pot gear,pot gear
59,1395,pot gear,pot gear
23,1219,mechanical digger,mechanical digger
B9,1189,pot gear vessel to 120'-pot gear vessel under 60',pot gear
2A,1050,dredge vessel over 80'-dredge vessel permit over 80',dredge
39,1047,pot gear,pot gear
99,712,other gear,other
5B,579,fixed gear maximum vessel length 60',fixed gear 
5D,538,fixed gear maximum vessel length 35',fixed gear 
8,230,fish wheel,NA
97,145,diving gear,diving gear 
2B,141,vessel to 80'-dredge vessel permit to 80',dredge
5A,120,fixed gear maximum vessel length 90',fixed gear 
1D,73,purse seine,purse seine
4C,54,net gear maximum vessel length 50',NA
31,25,gillnet & purse seine,purse seine
37,8,pair trawl,NA