p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
A11A,"ABALONE , DIVING GEAR, SOUTHEAST",abalone, diving gear, southeast
B05B,"HALIBUT , HAND TROLL, STATEWIDE",halibut, hand troll, statewide
B06B,"HALIBUT , LONGLINE VESSEL UNDER 60', STATEWIDE",halibut, longline vessel under 60', statewide
B25B,"HALIBUT , DINGLEBAR TROLL, STATEWIDE",halibut, dinglebar troll, statewide
B26B,"HALIBUT , MECHANICAL JIG, STATEWIDE",halibut, mechanical jig, statewide
B61B,"HALIBUT , LONGLINE VESSEL 60' OR OVER, STATEWIDE",halibut, longline vessel 60' or over, statewide
C06B,"SABLEFISH , LONGLINE VESSEL UNDER 60', STATEWIDE",sablefish, longline vessel under 60', statewide
C07B,"SABLEFISH , OTTER TRAWL, STATEWIDE",sablefish, otter trawl, statewide
C09B,"SABLEFISH , POT GEAR VESSEL UNDER 60', STATEWIDE",sablefish, pot gear vessel under 60', statewide
C25B,"SABLEFISH , DINGLEBAR TROLL, STATEWIDE",sablefish, dinglebar troll, statewide
C26B,"SABLEFISH , MECHANICAL JIG, STATEWIDE",sablefish, mechanical jig, statewide
C4CE,"SABLEFISH , NET GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, net gear maximum vessel length 50', prince william sound
C5AE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 90', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 90', prince william sound
C5BE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 60', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 60', prince william sound
C5CE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 50', prince william sound
C5DE,"SABLEFISH , FIXED GEAR MAXIMUM VESSEL LENGTH 35', PRINCE WILLIAM SOUND",sablefish, fixed gear maximum vessel length 35', prince william sound
C61A,"SABLEFISH , LONGLINE, NORTHERN SOUTHEAST",sablefish, longline, northern southeast
C61B,"SABLEFISH , LONGLINE VESSEL 60' OR OVER, STATEWIDE",sablefish, longline vessel 60' or over, statewide
C61C,"SABLEFISH , LONGLINE, SOUTHERN SOUTHEAST",sablefish, longline, southern southeast
C91A,"SABLEFISH , POT GEAR, NORTHERN SE-TEST ADF&G ONLY",sablefish, pot gear, northern se-test adf&g only
C91B,"SABLEFISH , POT GEAR VESSEL 60' OR OVER, STATEWIDE",sablefish, pot gear vessel 60' or over, statewide
C91C,"SABLEFISH , POT GEAR, SOUTHERN SOUTHEAST",sablefish, pot gear, southern southeast
C9CE,"SABLEFISH , POT GEAR MAXIMUM VESSEL LENGTH 50', PRINCE WILLIAM SOUND",sablefish, pot gear maximum vessel length 50', prince william sound
D09D,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT",dungeness crab, pot gear vessel under 60', yakutat
D09E,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND",dungeness crab, pot gear vessel under 60', prince william sound
D09J,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', WESTWARD",dungeness crab, pot gear vessel under 60', westward
D09L,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', CHIGNIK",dungeness crab, pot gear vessel under 60', chignik
D09M,"DUNGENESS CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA",dungeness crab, pot gear vessel under 60', alaska peninsula
D10A,"DUNGENESS CRAB , RING NET, SOUTHEAST",dungeness crab, ring net, southeast
D10D,"DUNGENESS CRAB , RING NET, YAKUTAT",dungeness crab, ring net, yakutat
D10H,"DUNGENESS CRAB , RING NET, COOK INLET",dungeness crab, ring net, cook inlet
D11A,"DUNGENESS CRAB , DIVING GEAR, SOUTHEAST",dungeness crab, diving gear, southeast
D91D,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT",dungeness crab, pot gear vessel 60' or over, yakutat
D91E,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND",dungeness crab, pot gear vessel 60' or over, prince william sound
D91H,"DUNGENESS CRAB , POT GEAR, COOK INLET",dungeness crab, pot gear, cook inlet
D91J,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, WESTWARD",dungeness crab, pot gear vessel 60' or over, westward
D91L,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, CHIGNIK",dungeness crab, pot gear vessel 60' or over, chignik
D91M,"DUNGENESS CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA",dungeness crab, pot gear vessel 60' or over, alaska peninsula
D9AA,"DUNGENESS CRAB , 300 POTS/OR 100% OF MAX, SOUTHEAST",dungeness crab, 300 pots/or 100% of max, southeast
D9BA,"DUNGENESS CRAB , 225 POTS/OR 75% OF MAX, SOUTHEAST",dungeness crab, 225 pots/or 75% of max, southeast
D9CA,"DUNGENESS CRAB , 150 POTS/OR 50% OF MAX, SOUTHEAST",dungeness crab, 150 pots/or 50% of max, southeast
D9DA,"DUNGENESS CRAB , 75 POTS/OR 25% OF MAX, SOUTHEAST",dungeness crab, 75 pots/or 25% of max, southeast
E09B,"HAIR CRAB , POT GEAR VESSEL UNDER 60', STATEWIDE",hair crab, pot gear vessel under 60', statewide
E09Q,"HAIR CRAB , POT GEAR VESSEL UNDER 60', BERING SEA",hair crab, pot gear vessel under 60', bering sea
E91B,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, STATEWIDE",hair crab, pot gear vessel 60' or over, statewide
E91Q,"HAIR CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA",hair crab, pot gear vessel 60' or over, bering sea
E91QV,"HAIR CRAB , POT GEAR, BERING SEA (VESSEL PERMIT)",hair crab, pot gear, bering sea (vessel permit)
F02B,"FRESH WATER FISH , BEACH SEINE, STATEWIDE",fresh water fish, beach seine, statewide
F04B,"FRESH WATER FISH , SET GILLNET, STATEWIDE",fresh water fish, set gillnet, statewide
F05B,"FRESH WATER FISH , HAND TROLL, STATEWIDE",fresh water fish, hand troll, statewide
F06B,"FRESH WATER FISH , LONGLINE VESSEL UNDER 60', STATEWIDE",fresh water fish, longline vessel under 60', statewide
F08B,"FRESH WATER FISH , FISH WHEEL, STATEWIDE",fresh water fish, fish wheel, statewide
F09B,"FRESH WATER FISH , POT GEAR VESSEL UNDER 60', STATEWIDE",fresh water fish, pot gear vessel under 60', statewide
F26B,"FRESH WATER FISH , MECHANICAL JIG, STATEWIDE",fresh water fish, mechanical jig, statewide
F99B,"FRESH WATER FISH , OTHER GEAR, STATEWIDE",fresh water fish, other gear, statewide
G01A,"HERRING ROE , PURSE SEINE, SOUTHEAST",herring roe, purse seine, southeast
G01E,"HERRING ROE , PURSE SEINE, PRINCE WILLIAM SOUND",herring roe, purse seine, prince william sound
G01H,"HERRING ROE & FOOD/BAIT , PURSE SEINE, COOK INLET",herring roe & food/bait, purse seine, cook inlet
G01K,"HERRING ROE , PURSE SEINE, KODIAK",herring roe, purse seine, kodiak
G01L,"HERRING ROE , PURSE SEINE, CHIGNIK",herring roe, purse seine, chignik
G01M,"HERRING ROE , PURSE SEINE, ALASKA PENINSULA",herring roe, purse seine, alaska peninsula
G01T,"HERRING ROE , PURSE SEINE, BRISTOL BAY",herring roe, purse seine, bristol bay
G01U,"HERRING ROE , PURSE SEINE, NUNIVAK ISLAND",herring roe, purse seine, nunivak island
G01X,"HERRING ROE , PURSE SEINE, KOTZEBUE",herring roe, purse seine, kotzebue
G02X,"HERRING ROE , BEACH SEINE, KOTZEBUE",herring roe, beach seine, kotzebue
G02Z,"HERRING ROE , BEACH SEINE, NORTON SOUND",herring roe, beach seine, norton sound
G31K,"HERRING ROE , GILLNET & PURSE SEINE, KODIAK",herring roe, gillnet & purse seine, kodiak
G34A,"HERRING ROE & FOOD/BAIT , GILLNET, SOUTHEAST",herring roe & food/bait, gillnet, southeast
G34E,"HERRING ROE , GILLNET, PRINCE WILLIAM SOUND",herring roe, gillnet, prince william sound
G34H,"HERRING ROE , GILLNET, COOK INLET",herring roe, gillnet, cook inlet
G34K,"HERRING ROE , GILLNET, KODIAK",herring roe, gillnet, kodiak
G34M,"HERRING ROE , GILLNET, ALASKA PENINSULA",herring roe, gillnet, alaska peninsula
G34N,"HERRING ROE & FOOD/BAIT , GILLNET, NELSON ISLAND",herring roe & food/bait, gillnet, nelson island
G34S,"HERRING ROE , GILLNET, SECURITY COVE",herring roe, gillnet, security cove
G34T,"HERRING ROE , GILLNET, BRISTOL BAY",herring roe, gillnet, bristol bay
G34U,"HERRING ROE & FOOD/BAIT , GILLNET, NUNIVAK ISLAND",herring roe & food/bait, gillnet, nunivak island
G34V,"HERRING ROE , GILLNET, CAPE AVINOF",herring roe, gillnet, cape avinof
G34W,"HERRING ROE & FOOD/BAIT , GILLNET, GOODNEWS BAY",herring roe & food/bait, gillnet, goodnews bay
G34X,"HERRING ROE , GILLNET, KOTZEBUE",herring roe, gillnet, kotzebue
G34Y,"HERRING ROE & FOOD/BAIT , GILLNET, CAPE ROMANZOF",herring roe & food/bait, gillnet, cape romanzof
G34Z,"HERRING ROE & FOOD/BAIT , GILLNET, NORTON SOUND",herring roe & food/bait, gillnet, norton sound
G77Z,"HERRING ROE , GILLNET, NORTON SOUND (EDUCATIONAL PERMIT)",herring roe, gillnet, norton sound (educational permit)
H01A,"HERRING FOOD/BAIT , PURSE SEINE, SOUTHEAST",herring food/bait, purse seine, southeast
H01E,"HERRING FOOD/BAIT , PURSE SEINE, PRINCE WILLIAM SOUND",herring food/bait, purse seine, prince william sound
H01L,"HERRING FOOD/BAIT , PURSE SEINE, CHIGNIK",herring food/bait, purse seine, chignik
H01M,"HERRING FOOD/BAIT , PURSE SEINE, ALASKA PENINSULA",herring food/bait, purse seine, alaska peninsula
H02X,"HERRING FOOD/BAIT , BEACH SEINE, KOTZEBUE",herring food/bait, beach seine, kotzebue
H1DK,"HERRING FOOD/BAIT , PURSE SEINE, FIXED VESSEL LENGTH TO 60', KODIAK",herring food/bait, purse seine," fixed vessel length to 60', kodiak"
H21A,"HERRING FOOD/BAIT , POUND, SOUTHEAST",herring food/bait, pound, southeast
H34E,"HERRING FOOD/BAIT , GILLNET, PRINCE WILLIAM SOUND",herring food/bait, gillnet, prince william sound
H34H,"HERRING FOOD/BAIT , GILLNET, COOK INLET",herring food/bait, gillnet, cook inlet
H34M,"HERRING FOOD/BAIT , GILLNET, ALASKA PENINSULA",herring food/bait, gillnet, alaska peninsula
H34X,"HERRING FOOD/BAIT , GILLNET, KOTZEBUE",herring food/bait, gillnet, kotzebue
H34Z,"HERRING FOOD/BAIT , GILLNET, NORTON SOUND",herring food/bait, gillnet, norton sound
H7BK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 75', KODIAK",herring food/bait, otter trawl," fixed vessel length to 75', kodiak"
H7CK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 70', KODIAK",herring food/bait, otter trawl," fixed vessel length to 70', kodiak"
H7DK,"HERRING FOOD/BAIT , OTTER TRAWL, FIXED VESSEL LENGTH TO 60', KODIAK",herring food/bait, otter trawl," fixed vessel length to 60', kodiak"
I05B,"LING COD , HAND TROLL, STATEWIDE",ling cod, hand troll, statewide
I06B,"LING COD , LONGLINE VESSEL UNDER 60', STATEWIDE",ling cod, longline vessel under 60', statewide
I09B,"LING COD , POT GEAR VESSEL UNDER 60', STATEWIDE",ling cod, pot gear vessel under 60', statewide
I25B,"LING COD , DINGLEBAR TROLL, STATEWIDE",ling cod, dinglebar troll, statewide
I26B,"LING COD , MECHANICAL JIG, STATEWIDE",ling cod, mechanical jig, statewide
I61B,"LING COD , LONGLINE VESSEL 60' OR OVER, STATEWIDE",ling cod, longline vessel 60' or over, statewide
I91B,"LING COD , POT GEAR VESSEL 60' OR OVER, STATEWIDE",ling cod, pot gear vessel 60' or over, statewide
J11A,"GEODUCK CLAMS , DIVING GEAR, SOUTHEAST",geoduck clams, diving gear, southeast
J97A,"GEODUCK AQUATIC FARMING , DIVING GEAR, SOUTHEAST",geoduck aquatic farming, diving gear, southeast
K09D,"KING CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT",king crab, pot gear vessel under 60', yakutat
K09E,"KING CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND",king crab, pot gear vessel under 60', prince william sound
K09H,"KING CRAB , POT GEAR VESSEL UNDER 60', COOK INLET",king crab, pot gear vessel under 60', cook inlet
K09K,"KING CRAB , POT GEAR VESSEL UNDER 60', KODIAK",king crab, pot gear vessel under 60', kodiak
K09M,"KING CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA",king crab, pot gear vessel under 60', alaska peninsula
K09O,"KING CRAB , POT GEAR VESSEL UNDER 60', DUTCH HARBOR",king crab, pot gear vessel under 60', dutch harbor
K09OA,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, APICDA",king crab, pot gear vessel under 60'," aleutian islands cdq, apicda"
K09OB,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, BBEDC",king crab, pot gear vessel under 60'," aleutian islands cdq, bbedc"
K09OC,"KING CRAB , POT GEAR VESSEL ONDER 60', ALEUTIAN ISLANDS CDQ, CBSFA",king crab, pot gear vessel onder 60'," aleutian islands cdq, cbsfa"
K09OD,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, CVRF",king crab, pot gear vessel under 60'," aleutian islands cdq, cvrf"
K09OE,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, NSEDC",king crab, pot gear vessel under 60'," aleutian islands cdq, nsedc"
K09OF,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, YDFDA",king crab, pot gear vessel under 60'," aleutian islands cdq, ydfda"
K09OG,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS ACA, ACDC",king crab, pot gear vessel under 60'," aleutian islands aca, acdc"
K09Q,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA",king crab, pot gear vessel under 60', bering sea
K09QA,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, APICDA",king crab, pot gear vessel under 60'," bering sea cdq, apicda"
K09QB,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, BBEDC",king crab, pot gear vessel under 60'," bering sea cdq, bbedc"
K09QC,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CBSFA",king crab, pot gear vessel under 60'," bering sea cdq, cbsfa"
K09QD,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CVRF",king crab, pot gear vessel under 60'," bering sea cdq, cvrf"
K09QE,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, NSEDC",king crab, pot gear vessel under 60'," bering sea cdq, nsedc"
K09QF,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, YDFDA",king crab, pot gear vessel under 60'," bering sea cdq, ydfda"
K09T,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY",king crab, pot gear vessel under 60', bristol bay
K09TA,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, APICDA",king crab, pot gear vessel under 60'," bristol bay cdq, apicda"
K09TB,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, BBEDC",king crab, pot gear vessel under 60'," bristol bay cdq, bbedc"
K09TC,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, CBSFA",king crab, pot gear vessel under 60'," bristol bay cdq, cbsfa"
K09TD,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, CVRF",king crab, pot gear vessel under 60'," bristol bay cdq, cvrf"
K09TE,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, NSEDC",king crab, pot gear vessel under 60'," bristol bay cdq, nsedc"
K09TF,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, YDFDA",king crab, pot gear vessel under 60'," bristol bay cdq, ydfda"
K09X,"KING CRAB , POT GEAR VESSEL UNDER 60', KOTZEBUE",king crab, pot gear vessel under 60', kotzebue
K09Z,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND",king crab, pot gear vessel under 60', norton sound
K09ZE,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND CDQ, NSEDC",king crab, pot gear vessel under 60'," norton sound cdq, nsedc"
K09ZF,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND CDQ, YDFDA",king crab, pot gear vessel under 60'," norton sound cdq, ydfda"
K19A,"RED/BLUE KING CRAB , POT GEAR, SOUTHEAST",red/blue king crab, pot gear, southeast
K29A,"RED/BLUE/BROWN KING CRAB , POT GEAR, SOUTHEAST",red/blue/brown king crab, pot gear, southeast
K39A,"BROWN KING CRAB , POT GEAR, SOUTHEAST",brown king crab, pot gear, southeast
K49A,"RED/BLUE KING/TANNER CRAB , POT GEAR, SOUTHEAST",red/blue king/tanner crab, pot gear, southeast
K59A,"BROWN KING/TANNER CRAB , POT GEAR, SOUTHEAST",brown king/tanner crab, pot gear, southeast
K69A,"RED/BLUE/BROWN KING/TANNER CRAB , POT GEAR, SOUTHEAST",red/blue/brown king/tanner crab, pot gear, southeast
K91D,"KING CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT",king crab, pot gear vessel 60' or over, yakutat
K91E,"KING CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND",king crab, pot gear vessel 60' or over, prince william sound
K91H,"KING CRAB , POT GEAR VESSEL 60' OR OVER, COOK INLET",king crab, pot gear vessel 60' or over, cook inlet
K91K,"KING CRAB , POT GEAR VESSEL 60' OR OVER, KODIAK",king crab, pot gear vessel 60' or over, kodiak
K91M,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA",king crab, pot gear vessel 60' or over, alaska peninsula
K91O,"KING CRAB , POT GEAR VESSEL 60' OR OVER, DUTCH HARBOR",king crab, pot gear vessel 60' or over, dutch harbor
K91OA,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, APICDA",king crab, pot gear vessel 60' or over," aleutian cdq, apicda"
K91OB,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, BBEDC",king crab, pot gear vessel 60' or over," aleutian cdq, bbedc"
K91OC,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, CBSFA",king crab, pot gear vessel 60' or over," aleutian cdq, cbsfa"
K91OD,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, CVRF",king crab, pot gear vessel 60' or over," aleutian cdq, cvrf"
K91OE,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, NSEDC",king crab, pot gear vessel 60' or over," aleutian cdq, nsedc"
K91OF,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, YDFDA",king crab, pot gear vessel 60' or over," aleutian cdq, ydfda"
K91OG,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN ISLANDS ACA, ACDC",king crab, pot gear vessel 60' or over," aleutian islands aca, acdc"
K91Q,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA",king crab, pot gear vessel 60' or over, bering sea
K91QA,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, APICDA",king crab, pot gear vessel 60' or over," bering sea cdq, apicda"
K91QB,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, BBEDC",king crab, pot gear vessel 60' or over," bering sea cdq, bbedc"
