"strategy.permit","Return_int","Return_slope","Risk_int","Risk_slope","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"B61B M61B",-0.595670886915517,-0.0465434236808895,0.000817010712355298,-0.0472542607406999,0,0,0,0,0,0.373163244616,0.528555691109093,0,0,0,0,0,0,0
"B61B C61B",0.123750626848021,0.170365644146338,0.0502345705204328,-0.0839259204387841,0,0,0,0,0,0,0.534505306965007,0,0,0,0.457370741869204,0,0,0
"S03",-0.889441070503215,-0.292143196695052,0.438870375174975,0.0254091728843985,0,0,0,0,0,0,0,0,0,0,0,0,0.92796533080831,0
"B61B S15B",-0.47750440139777,-0.08024260579954,0.00135069873767128,-0.0904879217320233,0.191224321788841,0,0.323234731740645,0,0,0,0.441871537643295,0,0,0,0,0,0,0
"S15B",-1.63723921501697,-0.0341194225926385,-0.0195754626971733,-0.0152764780939501,0.333460090494999,0,0.612932031262716,0,0,0,0,0,0,0,0,0,0,0
"S01E S03E",-1.32687637892243,0.0852820826612506,0.140779681883109,-0.0371541929759897,0,0,0,0,0,0,0,0.602753747079154,0,0,0,0,0.211385015104652,0
"S03E",0.0767088083521837,0.0585254486087558,-0.1223027378303,0.0324914778604876,0,0.135440201841436,0.116629048707593,0,0,0,0,0,0,0,0,0,0.632772950194358,0
"B61B S03",0.431702211403172,0.00849272100673982,-0.0204833327798855,-0.104729081506713,0,0,0,0,0,0,0.519644523706948,0,0,0,0,0,0.448056585269293,0
"B61B",-0.26149838371311,-0.220944089798729,-0.00657474512814132,0.019583011507571,0,0,0,0,0,0,0.994677191666113,0,0,0,0,0,0,0
"S04a",-0.592187083153757,0.0230573897093045,-0.140076445823253,-0.0159349651814345,0,0,0,0,0,0,0,0,0,0,0,0,0.910520725104263,0
"G34 S03",-0.352554176667773,0.0100349450700285,-0.102337905928631,-0.0255616784343434,0,0,0,0,0,0,0,0,0,0,0,0.174252490815797,0.796760577519024,0
"M07B",-1.46717941376824,0.115498173486782,0.0898934855769717,-0.0608161781753121,0,0,0,0,0,0.143584691479526,0,0,0.740352080738482,0,0,0,0,0
"G34",0.845868217239018,0.0546366597799934,-0.301496891976694,0.0706088897127925,0,0,0,0,0,0,0,0,0,0,0,0.993118161649141,0,0
"S04Y",1.25393512644204,0.821753122958981,0.0790392379893943,-0.0514866419217834,0.738183252324003,0.22701926034301,0,0,0,0,0,0,0,0,0,0,0,0
"G34 S04Y",-0.684779557177327,0.018156505428019,0.0269318914545903,-0.0381462169687308,0.48393310194518,0.147106903115182,0,0,0,0,0,0,0,0,0,0.343264547784526,0,0
"S01L",0.237382332287758,0.106834161813988,0.186969404390229,-0.0634743152567811,0,0,0,0,0,0,0,0,0,0,0,0,0.874348138574075,0
"G34 S04b",0.485480955468701,0.0113383189124014,-0.0405172997131419,0.0790616482327487,0,0,0.279102690874794,0,0,0,0,0,0,0,0,0.331685292480093,0.19385306407531,0
"S04b",0.467708426220885,0.144716674792017,-0.079152105960611,0.122778374321886,0.121373833411266,0.190308449654468,0.47765462738463,0,0,0,0,0,0,0,0,0,0.209334787354302,0
"S03A",-1.08434899860278,-0.286707087029963,0.0677147916862048,-0.171405640682149,0,0.405496449103802,0.134270659883564,0,0,0,0,0,0,0,0,0,0.333574357923811,0
"S01A",-0.146757308482748,-0.410174653263084,-0.0820953000831034,0.177243939912597,0,0.226888618152211,0,0,0,0,0,0.609143951521263,0,0,0,0,0.124159631381305,0
"S01",-1.92506091635288,-0.0241937449760247,-0.110275238265868,-0.0346844202614549,0,0.143582206816016,0,0,0,0,0,0.286539982482753,0,0,0,0,0.560008119014594,0
"M61B",-1.5932873267455,0.283890260414928,-0.0342368065062856,-0.0578270579216947,0,0,0,0,0,0.947087051447141,0,0,0,0,0,0,0,0
"B61B C61B M61B",-1.29340423783334,0.00813547537567645,0.16307933376741,-0.0370558938056208,0,0,0,0,0,0.197383695260934,0.326011370729638,0,0,0,0.430563536615842,0,0,0
"B61B D09",3.45876516899823,-0.00892266928949822,-0.153433510793449,0.0307562215949365,0,0,0,0.695884253624798,0,0,0.303450972958168,0,0,0,0,0,0,0
"C61B",0.994053061560293,0.175903882701935,-0.209927662772158,0.0131216482076281,0,0,0,0,0,0,0,0,0,0,0.987584127799722,0,0,0
"G01",1.37010655071672,-0.166629351508278,-0.0468320368387546,-0.0949959468426779,0,0,0,0,0,0,0,0,0,0,0,0.998467061710219,0,0
"S01E",2.03430627334671,0.203593421438397,-0.0795779027653462,0.199384707140733,0,0.102248253668432,0,0,0,0,0,0.841426509220919,0,0,0,0,0,0
"K91",-0.54179615469004,0.0373210331431446,0.0137899993381948,-0.0214835929061769,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"T91Q",1.92305562653,-0.0131104641751405,0.322714125767715,0.0071050183032042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999770222108803
"K91 T91Q",0.0978230823656849,-0.237696657422575,0.0112079281681538,-0.0091727009467553,0,0,0,0,0.190827943048501,0,0,0,0,0,0,0,0,0.809172056951499
"B61B C61B S15B",-1.11450960337299,0.163595983721449,-0.234254477106936,-0.0563075269614462,0.15041650566208,0,0.168457957768862,0,0,0,0.341579560199265,0,0,0,0.318888365295133,0,0,0
"Z12B",1.42143000759566,0.0848613007135318,0.474807013878676,-0.109704899438494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S04D",2.4829859092484,-0.0953715084323635,-0.28685255130576,0.102358266394579,0,0,0.445852248174665,0,0,0,0,0,0,0,0,0,0.510259745190885,0
"G01 S01",0.619530752961734,-0.139001554198387,0.0900238571106002,-0.0138297311192733,0,0,0,0,0,0,0,0.244755793697944,0,0,0,0.273901335225482,0.385189315337438,0
"B61B S01",-1.0486619933828,0.0272881071578976,-0.187005942905458,-0.0202947132360356,0,0,0,0,0,0,0.259012013189047,0.219751013023333,0,0,0,0,0.433576191870654,0
"B61B S03E",-1.84378682180784,-0.0962036346944524,-0.10193650968003,0.0219283488832178,0,0.102476802236483,0,0,0,0,0.32784591022873,0,0,0,0,0,0.457265684688463,0
"B61B S03A",0.665372945022167,0.174470204328937,0.0760559412170411,0.120457971851155,0,0.281516609233362,0,0,0,0,0.368601342477682,0,0,0,0,0,0.181065092075673,0
"M91B",1.45047546477384,-0.0904553752439378,-0.00758977170479012,-0.182024714192207,0,0,0,0,0,0.974159282878022,0,0,0,0,0,0,0,0
"Q11 U11A",1.00322012003596,-0.191352115549532,0.197442830035799,0.0245100955524151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J11A Q11",0.557438387830287,-0.286253318089582,0.175770884960453,0.0156135868525309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D09",1.10598652142589,0.23045446321259,0.192267398880545,-0.0050694812836981,0,0,0,0.999885943564658,0,0,0,0,0,0,0,0,0,0
"G01 S03",1.35688936631893,0.129432398935935,0.071826974489377,0.0405570165542319,0,0,0,0,0,0,0,0,0,0,0,0.26657795920502,0.719543077745797,0
"L21",0.452871307497405,-0.434197694895365,0.118530095335429,0.201791718053204,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"S01M",-0.320779355920197,0.0130955439545596,-0.105038043906726,-0.0138427039521347,0,0.138469719800875,0,0,0,0,0,0.294681149698023,0,0,0,0,0.506925673019602,0
"Q11",-0.139738130117273,0.0722859050599988,-0.0810269791385304,0.0657107716569305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M7HB",-0.321533817583991,-0.152532982021996,0.190287274998163,0.0565531534582542,0,0,0,0,0,0.12508370394016,0,0,0.817202462703018,0,0,0,0,0
"B61B S01A",-1.60468517198434,0.127704334242105,-0.375865369644072,0.00273109879347928,0,0.197304680057356,0,0,0,0,0.243714797256054,0.428548213846472,0,0,0,0,0,0
"M26",-0.95545629599562,0.0429663883525871,0.221722284374926,0.0869191519252556,0,0,0,0,0,0.787591250900781,0,0,0,0,0,0,0,0
"S04X",-1.70447486723522,-0.751109216777142,0.000915008380877332,-0.153992829524596,0,0.996828479075329,0,0,0,0,0,0,0,0,0,0,0,0
"K91 K91 T91Q",-1.12662490679852,0.312115553599287,0.00308810114345539,0.119951580508774,0,0,0,0,0.421888545953424,0,0,0,0,0,0,0,0,0.57805875016139
"C61A",-0.9089376795581,0.243120118339332,-0.0895237325702896,-0.0845811871151588,0,0,0,0,0,0,0,0,0,0,0.986496167249841,0,0,0
"K91 M91B T91Q",2.39112090626168,0.060804742280411,-0.0262538816501771,0.0384646889586691,0,0,0,0,0.34717767563157,0.232427518250691,0,0,0,0,0,0,0,0.419140790394863
"M09B",-1.36749882636845,0.0334241897918182,-0.361477166515568,0.0255298282228354,0,0,0,0,0,0.993081950726419,0,0,0,0,0,0,0,0
